Kinases (NCBI_Gene_symbol),Entrez Gene_ID (Kinase),description,type_of_gene,map_location, Substrate (NCBI_Gene_symbol),Entrez Gene_ID (Substrate),description,type_of_gene,map_location
BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2,MAGEA12,4111,"melanoma antigen family A, 12",protein-coding,Xq28
BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2,ANXA2,302,annexin A2,protein-coding,15q22.2
BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2,EIF4B,1975,eukaryotic translation initiation factor 4B,protein-coding,12q13.13
BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2,AXL,558,AXL receptor tyrosine kinase,protein-coding,19q13.1
BRAF,673,v-raf murine sarcoma viral oncogene homolog B1,protein-coding,7q34,BAD,572,BCL2-associated agonist of cell death,protein-coding,11q13.1
BRAF,673,v-raf murine sarcoma viral oncogene homolog B1,protein-coding,7q34,TTK,7272,TTK protein kinase,protein-coding,6q13-q21
BRAF,673,v-raf murine sarcoma viral oncogene homolog B1,protein-coding,7q34,MAP2K1,5604,mitogen-activated protein kinase kinase 1,protein-coding,15q22.1-q22.33
BRAF,673,v-raf murine sarcoma viral oncogene homolog B1,protein-coding,7q34,MAP2K2,5605,mitogen-activated protein kinase kinase 2,protein-coding,19p13.3
BRD4,23476,bromodomain containing 4,protein-coding,19p13.1,POLR2A,5430,"polymerase (RNA) II (DNA directed) polypeptide A, 220kDa",protein-coding,17p13.1
BRSK1,84446,BR serine/threonine kinase 1,protein-coding,19q13.4,CDC25B,994,cell division cycle 25B,protein-coding,20p13
BRSK1,84446,BR serine/threonine kinase 1,protein-coding,19q13.4,WEE1,7465,WEE1 homolog (S. pombe),protein-coding,11p15.3-p15.1
BRSK1,84446,BR serine/threonine kinase 1,protein-coding,19q13.4,TUBG1,7283,"tubulin, gamma 1",protein-coding,17q21
BRSK1,84446,BR serine/threonine kinase 1,protein-coding,19q13.4,PRKAA1,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit",protein-coding,5p12
BRSK1,84446,BR serine/threonine kinase 1,protein-coding,19q13.4,CDC25C,995,cell division cycle 25C,protein-coding,5q31
BRSK2,9024,BR serine/threonine kinase 2,protein-coding,11p15.5,PRKAA1,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit",protein-coding,5p12
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,CDK9,1025,cyclin-dependent kinase 9,protein-coding,9q34.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,RAD23B,5887,RAD23 homolog B (S. cerevisiae),protein-coding,9q31.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,EIF4A3,9775,eukaryotic translation initiation factor 4A3,protein-coding,17q25.3
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,SMPX,23676,"small muscle protein, X-linked",protein-coding,Xp22.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PDCD2,5134,programmed cell death 2,protein-coding,6q27
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,NELFB,25920,negative elongation factor complex member B,protein-coding,9q34
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,RPS6KA2,6196,"ribosomal protein S6 kinase, 90kDa, polypeptide 2",protein-coding,6q27
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,MAPK8,5599,mitogen-activated protein kinase 8,protein-coding,10q11.22
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PPP2R1A,5518,"protein phosphatase 2, regulatory subunit A, alpha",protein-coding,19q13.41
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,NRIP2,83714,nuclear receptor interacting protein 2,protein-coding,12p13.33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ASAP3,55616,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",protein-coding,1p36.12
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,SLC4A1AP,22950,"solute carrier family 4 (anion exchanger), member 1, adaptor protein",protein-coding,2p23.3
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,WWP1,11059,WW domain containing E3 ubiquitin protein ligase 1,protein-coding,8q21
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,NCAPG,64151,"non-SMC condensin I complex, subunit G",protein-coding,4p15.33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,SRSF10,10772,serine/arginine-rich splicing factor 10,protein-coding,1p36.11
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ATF6,22926,activating transcription factor 6,protein-coding,1q22-q23
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,WAS,7454,Wiskott-Aldrich syndrome,protein-coding,Xp11.4-p11.21
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ABI2,10152,abl-interactor 2,protein-coding,2q33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PER3,8863,period circadian clock 3,protein-coding,1p36.23
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,HNRNPK,3190,heterogeneous nuclear ribonucleoprotein K,protein-coding,9q21.32-q21.33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,NFKBIA,4792,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",protein-coding,14q13
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PRKACA,5566,"protein kinase, cAMP-dependent, catalytic, alpha",protein-coding,19p13.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,OTUD7B,56957,OTU domain containing 7B,protein-coding,1q21.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ZNF397,84307,zinc finger protein 397,protein-coding,18q12.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ZYX,7791,zyxin,protein-coding,7q32
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,MBNL3,55796,muscleblind-like splicing regulator 3,protein-coding,Xq26.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,HES1,3280,"hairy and enhancer of split 1, (Drosophila)",protein-coding,3q28-q29
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,WWTR1,25937,WW domain containing transcription regulator 1,protein-coding,3q23-q24
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,TIRAP,114609,toll-interleukin 1 receptor (TIR) domain containing adaptor protein,protein-coding,11q24.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,STAT5B,6777,signal transducer and activator of transcription 5B,protein-coding,17q11.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ZW10,9183,zw10 kinetochore protein,protein-coding,11q23.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,CCM2,83605,cerebral cavernous malformation 2,protein-coding,7p13
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PPP1R13L,10848,"protein phosphatase 1, regulatory subunit 13 like",protein-coding,19q13.32
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,MAPK1,5594,mitogen-activated protein kinase 1,protein-coding,22q11.21
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,TGFB1I1,7041,transforming growth factor beta 1 induced transcript 1,protein-coding,16p11.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,ZNF655,79027,zinc finger protein 655,protein-coding,7q22.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,MAPK12,6300,mitogen-activated protein kinase 12,protein-coding,22q13.33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,KAT5,10524,K(lysine) acetyltransferase 5,protein-coding,11q13
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,FGR,2268,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,protein-coding,1p36.2-p36.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,CAMKK1,84254,"calcium/calmodulin-dependent protein kinase kinase 1, alpha",protein-coding,17p13.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PRKACB,5567,"protein kinase, cAMP-dependent, catalytic, beta",protein-coding,1p31.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,GTF2I,2969,general transcription factor IIi,protein-coding,7q11.23
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,RAD51,5888,RAD51 homolog (S. cerevisiae),protein-coding,15q15.1
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,CHGB,1114,chromogranin B (secretogranin 1),protein-coding,20pter-p12
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,NFATC3,4775,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3",protein-coding,16q22.2
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,SMAD3,4088,SMAD family member 3,protein-coding,15q22.33
BTK,695,Bruton agammaglobulinemia tyrosine kinase,protein-coding,Xq21.33-q22,PLCG2,5336,"phospholipase C, gamma 2 (phosphatidylinositol-specific)",protein-coding,16q24.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,NUP35,129401,nucleoporin 35kDa,protein-coding,2q32.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,SMPX,23676,"small muscle protein, X-linked",protein-coding,Xp22.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PHAX,51808,phosphorylated adaptor for RNA export,protein-coding,5q23.2
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,HCLS1,3059,hematopoietic cell-specific Lyn substrate 1,protein-coding,3q13
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PPP1R8,5511,"protein phosphatase 1, regulatory subunit 8",protein-coding,1p35.3
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,ZYX,7791,zyxin,protein-coding,7q32
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PAXBP1,94104,PAX3 and PAX7 binding protein 1,protein-coding,21q21.3
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,BUB3,9184,BUB3 mitotic checkpoint protein,protein-coding,10q26
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,TERF2IP,54386,"telomeric repeat binding factor 2, interacting protein",protein-coding,16q23.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,CSDC2,27254,"cold shock domain containing C2, RNA binding",protein-coding,22q13.2
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,ZFP36,7538,ZFP36 ring finger protein,protein-coding,19q13.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,SMARCA4,6597,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",protein-coding,19p13.2
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,MLX,6945,"MLX, MAX dimerization protein",protein-coding,17q21.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,MDM2,4193,"MDM2 oncogene, E3 ubiquitin protein ligase",protein-coding,12q14.3-q15
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,AIRE,326,autoimmune regulator,protein-coding,21q22.3
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PPP1R13L,10848,"protein phosphatase 1, regulatory subunit 13 like",protein-coding,19q13.32
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,MDM4,4194,Mdm4 p53 binding protein homolog (mouse),protein-coding,1q32
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PPP2R5D,5528,"protein phosphatase 2, regulatory subunit B', delta",protein-coding,6p21.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,LIG1,3978,"ligase I, DNA, ATP-dependent",protein-coding,19q13.2-q13.3
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,APITD1,378708,"apoptosis-inducing, TAF9-like domain 1",protein-coding,1p36.22
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,IRF3,3661,interferon regulatory factor 3,protein-coding,19q13.3-q13.4
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,NOC2L,26155,nucleolar complex associated 2 homolog (S. cerevisiae),protein-coding,1p36.33
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,STIP1,10963,stress-induced-phosphoprotein 1,protein-coding,11q13
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,BCL3,602,B-cell CLL/lymphoma 3,protein-coding,19q13.1-q13.2
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,LAS1L,81887,LAS1-like (S. cerevisiae),protein-coding,Xq12
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,ZNF765,91661,zinc finger protein 765,protein-coding,19q13.42
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,UBE2A,7319,ubiquitin-conjugating enzyme E2A,protein-coding,Xq24
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,MYRF,745,myelin regulatory factor,protein-coding,11q12-q13.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,TOX,9760,thymocyte selection-associated high mobility group box,protein-coding,8q12.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,CDC20,991,cell division cycle 20,protein-coding,1p34.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,PPIE,10450,peptidylprolyl isomerase E (cyclophilin E),protein-coding,1p32
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,XRCC1,7515,X-ray repair complementing defective repair in Chinese hamster cells 1,protein-coding,19q13.2
BUB1,699,BUB1 mitotic checkpoint serine/threonine kinase,protein-coding,2q14,NCL,4691,nucleolin,protein-coding,2q37.1
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,LIPE,3991,"lipase, hormone-sensitive",protein-coding,19q13.2
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,RPS19,6223,ribosomal protein S19,protein-coding,19q13.2
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,MYL9,10398,"myosin, light chain 9, regulatory",protein-coding,20q11.23
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,HDAC5,10014,histone deacetylase 5,protein-coding,17q21
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,HDAC9,9734,histone deacetylase 9,protein-coding,7p21.1
CAMK1,8536,calcium/calmodulin-dependent protein kinase I,protein-coding,3p25.3,EIF4G3,8672,"eukaryotic translation initiation factor 4 gamma, 3",protein-coding,1p36.12
CAMK1D,57118,calcium/calmodulin-dependent protein kinase ID,protein-coding,10p13,PHB2,11331,prohibitin 2,protein-coding,12p13
CAMK1D,57118,calcium/calmodulin-dependent protein kinase ID,protein-coding,10p13,DAZAP1,26528,DAZ associated protein 1,protein-coding,19p13.3
CAMK1D,57118,calcium/calmodulin-dependent protein kinase ID,protein-coding,10p13,NEUROD1,4760,neuronal differentiation 1,protein-coding,2q32
CAMK1D,57118,calcium/calmodulin-dependent protein kinase ID,protein-coding,10p13,SMAD3,4088,SMAD family member 3,protein-coding,15q22.33
CAMK1D,57118,calcium/calmodulin-dependent protein kinase ID,protein-coding,10p13,ASAP3,55616,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",protein-coding,1p36.12
CAMK1G,57172,calcium/calmodulin-dependent protein kinase IG,protein-coding,1q32.2,EIF4G3,8672,"eukaryotic translation initiation factor 4 gamma, 3",protein-coding,1p36.12
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CARD11,84433,"caspase recruitment domain family, member 11",protein-coding,7p22
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ETS2,2114,v-ets erythroblastosis virus E26 oncogene homolog 2 (avian),protein-coding,21q22.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,FLNA,2316,"filamin A, alpha",protein-coding,Xq28
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,RRAD,6236,Ras-related associated with diabetes,protein-coding,16q22
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ITGB1,3688,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",protein-coding,10p11.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,SNCA,6622,"synuclein, alpha (non A4 component of amyloid precursor)",protein-coding,4q21
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ESPL1,9700,extra spindle pole bodies homolog 1 (S. cerevisiae),protein-coding,12q
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CLCN3,1182,"chloride channel, voltage-sensitive 3",protein-coding,4q33
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,LZTS1,11178,"leucine zipper, putative tumor suppressor 1",protein-coding,8p22
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CDKN1B,1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",protein-coding,12p13.1-p12
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,HRH1,3269,histamine receptor H1,protein-coding,3p25
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,SRF,6722,serum response factor (c-fos serum response element-binding transcription factor),protein-coding,6p21.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ITPKA,3706,inositol-trisphosphate 3-kinase A,protein-coding,15q15.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,NEUROD1,4760,neuronal differentiation 1,protein-coding,2q32
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,TH,7054,tyrosine hydroxylase,protein-coding,11p15.5
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,MAPT,4137,microtubule-associated protein tau,protein-coding,17q21.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,OPRM1,4988,"opioid receptor, mu 1",protein-coding,6q24-q25
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,GRIN2B,2904,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B",protein-coding,12p12
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,SMAD2,4087,SMAD family member 2,protein-coding,18q21.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,RCHY1,25898,"ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase",protein-coding,4q21.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ITGB1BP1,9270,integrin beta 1 binding protein 1,protein-coding,2p25.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,GFPT1,2673,glutamine--fructose-6-phosphate transaminase 1,protein-coding,2p13
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CSRP3,8048,cysteine and glycine-rich protein 3 (cardiac LIM protein),protein-coding,11p15.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,NCOR2,9612,nuclear receptor corepressor 2,protein-coding,12q24
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ATF6,22926,activating transcription factor 6,protein-coding,1q22-q23
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PRKCD,5580,"protein kinase C, delta",protein-coding,3p21.31
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,HSF1,3297,heat shock transcription factor 1,protein-coding,8q24.3
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,VIM,7431,vimentin,protein-coding,10p13
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ALOX5,240,arachidonate 5-lipoxygenase,protein-coding,10q11.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,SLN,6588,sarcolipin,protein-coding,11q22-q23
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,GRIA1,2890,"glutamate receptor, ionotropic, AMPA 1",protein-coding,5q31.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,STUB1,10273,"STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase",protein-coding,16p13.3
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,SPR,6697,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",protein-coding,2p14-p12
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PLN,5350,phospholamban,protein-coding,6q22.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,ETS1,2113,v-ets erythroblastosis virus E26 oncogene homolog 1 (avian),protein-coding,11q23.3
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PLCB3,5331,"phospholipase C, beta 3 (phosphatidylinositol-specific)",protein-coding,11q13
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CHAT,1103,choline O-acetyltransferase,protein-coding,10q11.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,FBXO43,286151,F-box protein 43,protein-coding,8q22.2
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PRKAR1A,5573,"protein kinase, cAMP-dependent, regulatory, type I, alpha",protein-coding,17q23-q24
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,RYR2,6262,ryanodine receptor 2 (cardiac),protein-coding,1q43
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,CD44,960,CD44 molecule (Indian blood group),protein-coding,11p13
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PPP1R14A,94274,"protein phosphatase 1, regulatory (inhibitor) subunit 14A",protein-coding,19q13.1
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,PINX1,54984,"PIN2/TERF1 interacting, telomerase inhibitor 1",protein-coding,8p23
CAMK2A,815,calcium/calmodulin-dependent protein kinase II alpha,protein-coding,5q32,GLO1,2739,glyoxalase I,protein-coding,6p21.3-p21.1
CAMK2B,816,calcium/calmodulin-dependent protein kinase II beta,protein-coding,7p14.3-p14.1,RIPK3,11035,receptor-interacting serine-threonine kinase 3,protein-coding,14q11.2
CAMK2B,816,calcium/calmodulin-dependent protein kinase II beta,protein-coding,7p14.3-p14.1,PRKAA1,5562,"protein kinase, AMP-activated, alpha 1 catalytic subunit",protein-coding,5p12
CAMK2B,816,calcium/calmodulin-dependent protein kinase II beta,protein-coding,7p14.3-p14.1,MAPK7,5598,mitogen-activated protein kinase 7,protein-coding,17p11.2
CAMK2B,816,calcium/calmodulin-dependent protein kinase II beta,protein-coding,7p14.3-p14.1,PRKACA,5566,"protein kinase, cAMP-dependent, catalytic, alpha",protein-coding,19p13.1
CAMK2B,816,calcium/calmodulin-dependent protein kinase II beta,protein-coding,7p14.3-p14.1,STMN1,3925,stathmin 1,protein-coding,1p36.11
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,SCN5A,6331,"sodium channel, voltage-gated, type V, alpha subunit",protein-coding,3p21
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,NR0B2,8431,"nuclear receptor subfamily 0, group B, member 2",protein-coding,1p36.1
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,LIMA1,51474,LIM domain and actin binding 1,protein-coding,12q13
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,MAPK1,5594,mitogen-activated protein kinase 1,protein-coding,22q11.21
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,ANKRD28,23243,ankyrin repeat domain 28,protein-coding,3p25.1
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,CACNB2,783,"calcium channel, voltage-dependent, beta 2 subunit",protein-coding,10p12
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,HSF1,3297,heat shock transcription factor 1,protein-coding,8q24.3
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,RIPK3,11035,receptor-interacting serine-threonine kinase 3,protein-coding,14q11.2
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,TPD52,7163,tumor protein D52,protein-coding,8q21
CAMK2D,817,calcium/calmodulin-dependent protein kinase II delta,protein-coding,4q26,BMX,660,BMX non-receptor tyrosine kinase,protein-coding,Xp22.2
