Approved	Alias
NAT8L	NAT8L
RNF31	FLJ23501
MIGA1	FLJ35093
ZDHHC9	ZDHHC10
GEMIN7	FLJ13956
ARVD4	ARVD4
COQ3	COQ3
RPL5	UL18
LRRC34P2	LRRC34P2
TRMCAT43	TRNAMETCAT43
ALLC	ALLC
RNU1141P	RNU1141P
MIR3689D2	HSAMIR3689D2
RN7SL767P	RN7SL767P
TMEM97P2	TMEM97P2
RASSF4	AD037
SLC4A1	WD
RNU6890P	RNU6890P
CCNI2	CCNI2
CERK	CERK
PRSS2	PRSS2
LCMT2	TYW4
RNU615P	RNU615
PBK	SPK
USP17L1	U17L1
CC2D2B	C10ORF131
HIGD2B	HIGD2B
PTF1A	PTF1P48
PLPPR3	LPPR3
TMSB15BAS1	TMSB15BAS1
MIR2052HG	MIR2052HG
MIR604	MIR604
TRRTCG11	TRNAR22
TTTY8B	TTTY8B
RNU610P	RNU610P
CD27	TP55
FAM90A7P	FAM90A7
DLG5	DLG5
TRSUPCTA21	TRNASUPCTA21
HTATIP2	HTAI2
GOT1	AATC
KCNH5	HEAG2
RNU6831P	RNU6831P
HCHOLA4	HCHOLA4
OACYLP	OACYLP
PIP5K1B	STM7
MARCHF6	MARCH6
DGCR9	POM121L5P
CCDC85B	CCDC85B
TRAAGC51	TRNAALAAGC51
PLEK	P47
LINC02639	LINC02639
ZNF534	FLJ25344
PDSS1	PDSS1
RN7SL318P	RN7SL318P
MANBAL	DJ1141E15.2
TRWCCA61	TRNATRPCCA61
CYBB	GP91PHOX
ARG1	ARG1
WAKMAR2	WAKMAR2
MIR1910	MIR1910
IVNS1ABP	ND1
CYTH1	PSCD1
ELOCP28	TCEB1P28
CEMIP	KIAA1199
MRI1	YPR118W
FAM135A	KIAA1411
CMPK1	KCY
FGFR1OP2P1	FGFR1OP2P1
RNU1136P	RNU1136P
MRPL44	MRPL44
MIR765	MIRN765
ELOCP27	ELOCP27
TPRG1LP1	TPRG1LP1
MBOAT1	MGC44669
KRT87P	KRT121P
FAM214B	BA182N22.6
PRR26	PRR26
KIF26B	KIF26B
C3ORF86	C3ORF86
FAM110C	FAM110C
TRERF1	BCAR2
SRPRA	SRPALPHA
MIR376A2	HSAMIR376A2
MYL6P1	MYL6P1
GOLGA8F	GOLGA8F
CGA	LHA
MRLN	MUSER1
FAM72A	FA72A
ADAM10	CD156C
HSFY2	HSFY2
RNU763P	RNU763P
DMPK	DM1
PLP1	GPM6C
CNP	CNP
ANKRD26P4	ANKRD26P4
IGHV1OR154	IGHV1OR154
TRRACG24	TRNAR29
SLC14A1	RACH1
SPOCK1	SPOCK
TPST1	TPST1
SCASI	SCAR4
RNA5SP127	RNA5SP127
IGLV151	LV151
BEST1	VMD2
OR4K12P	OR212
ZNF385A	HZF
LINC01480	LINC01480
LPAL2	APOARGC
FAR2	FACR2
DDX21	RHII/GU
SNAI1P1	SNAI1L
CTSL	CTSL1
CEBPADT	CEBPAAS1
PSTK	PSTK
METTL21EP	METTL21EP
C21ORF62	C21ORF120
IL4R	CD124
NPAP1	NPAP1
MIR4780	MIR4780
CORO6	FLJ14871
EPRS	PARS
ARL13A	AR13A
LINC02381	LOC400043
KCNH2	HERG
CPA5	CPA5
DNMT3A	DNM3A
MCCC2	MCCC2
USP8P1	D84394.7
CD59	MIN3
H2BC16P	H2BC16P
ADAMTS9AS2	ADAMTS9AS2
MIR520B	HSAMIR520B
CCDC26	CCDC26
PPARGC1A	PPARGC1A
RNU6125P	RNU6125P
ZSCAN12P1	ZSCAN12L1
CCDC149	CC149
FOSB	MGC42291
GTS	GTS
YWHAQP5	YWHAQP5
PLS3AS1	PLS3AS1
PRR15L	MGC11242
LINC01233	LINC01233
HPN	TMPRSS1
SPINK13	LIESP6
PHRF1	PHRF1
TBC1D21	TBC21
SECTM1	SCTM1
PRAC1	PRAC
RNU6708P	RNU6708P
VWA1	WARP
LPAL1	LPAL1
MBLAC1	MBLC1
TSSK5P	TSSKPS1
ZC3H13	ZC3H13
LRRIQ3	MGC22773
PRNCR1	PCAT8
RHOT1P2	RHOT1P2
TRRACG21	TRNAR11
LRRC34	LRC34
DOCK8	ZIR8
BEX3	HGR74
CHRAC1	CHRAC1
LINC00458	LNCRNAES3
NLRC4	CLANB
GAPDHP66	GAPDHL11
RNA5SP424	RN5S424
FBXO16	FBXO16
GCOM2	GLURR2
TMEM156	TMEM156
B3GAT2	B3GA2
PTBP2	PTB
MED28P5	MED28P5
MID1	OS
MAD2L1BP	CMT2
TET2	KIAA1546
RN7SL8P	RN7SL8P
PPIEL	PPIEP1
MGLL	MGLL
TRGTCC22	TRGTCC22
RNU6496P	RNU6496P
DNLZ	C9ORF151
RPL7AP20	RPL7AP20
GDI1	GDI1
LINC00442	LINC00442
G3BP2	G3BP2
ATG10	ATG10
UTP11	UTP11
RNA5S1	RNA5S1
FHL3	SLIM2
MARCHF9	RNF179
MIR1202	MIR1202
RNU773P	RNU773P
KIR3DX1	KIR3DX1
RBMXP2	RBMXP2
IFT74	CCDC2
IL17D	FLJ30846
GCAT	KBL
SRSF12	SFRS19
SNORD81	RNU104
NASP	FLB7527
C6ORF62	FLJ12619
FTH1P20	FTH1P20
FOXS1	FOXS1
ENPEP	AMPE
DDX11L10	DDX11P
RCC2P6	RCC2P6
MTND4LP4	MTND4LP4
ALG13	CDG1S
SLC1A7	SLC1A7
LINC00596	CNSLT1I7G
RN7SL123P	RN7SL123P
FLYWCH1	FWCH1
RCBTB1	CLLL7
DPYSL4	DPYL4
EEF1B2P3	EEF1B4
DDX5	P68
MIR4528	MIR4528
MTND6	NU6M
AGO2	EIF2C2
ZNF606	ZNF328
ELK2BP	ELK2.2
ADAT2	DEADC1
NCL	NCL
KLHL10	KLH10
ZNF436	KIAA1710
AGGF1P3	AGGF1P3
SKA2	SKA2
TRTTGT61	TRNAT1
LINC01377	LINC01377
PIEZO1	KIAA0233
TRD	TRD@
LAMP5	DJ1119D9.3
TRAJ49	A0A075B6Y0
PPP1R3E	PPR3E
DEFA1	MRS
GUCA2A	GUCA2A
MIR1290	HSAMIR1290
ALDH1L1AS2	ALDH1L1AS2
CCL16	HCC4
LINC01745	LINC01745
SPATA45	SPATA45
RN7SL782P	RN7SL782P
RERE	ATN1L
SVOP	SVOP
CNTNAP2	CASPR2
ZNF75BP	ZNF75BP
RNU6763P	RNU6763P
RLN3	RLN3
SNORA80E	ACA42
DENND4A	MYCPBP
ABHD17AP6	ABHD17AP6
YBX1P7	YBX1P7
RBMXL2	HNRNPGT
RNA5SP307	RNA5SP307
MIRLET7A3	MIRNLET7A3
RPL35P5	RPL35P5
MIR36701	MIR3670
PARP11	C12ORF6
TIPARP	DKFZP686N0351
URGCP	DKFZP686O0457
TEP1	TLP1
OFD1P4Y	OFDYP4
MRPL35P2	MRPL35P2
TAPT1	FLJ90013
ZNF229	ZNF229
CTSC	CTSC
EZH2	ENX1
EIF4E2	EIF4EL3
TRAV262	TRAV262
FRS2	FRS2
RNF213AS1	RNF213AS1
CPA1	CBPA1
IGKV2D18	IGKV2D18
DFNB62	DFNB62
ARL14EP	AL14E
WDR11	HH14
RPS4XP11	RPS4P11
OR52K1	OR52K1
SLC1A5	RDRC
MIR4802	HSAMIR4802
MYO15A	MYO15
AATK	PPP1R77
CXCL1P1	CXCL1P1
BACH1IT1	BACH1IT1
BRCA1	BRCA1
ZNF548	ZNF548
TAS2R19	TAS2R23
SELL	LSEL
SLC32A1	BA122O1.1
TYMS	TYSY
RNY1P9	RNY1P9
CISD1P1	CISD1P1
RPRD1B	CREPT
CASP2	MGC2181
ARIH2	ARI2
TEX36	BA383C5.1
CKM	KCRM
OR10W1	OR10W1P
IGKV1D43	KVD43
CHSY3	CHSY3
HCFC2P1	HCFC2P1
ARC	ARC
GPR3	ACCA
MZT2A	MZT2A
STEAP1	STEAP1
SSXP4	SSX10
SYNPO	SYNPO
DHRS4	DHRS4
NPSR1AS1	AAA1
SNORD150	SNORD150
KAT14	ATAC2
H33A	H33A
STK4AS1	STK4AS1
TMEM14C	BA421M1.6
RHBDL3	RHBL3
PPP1R16A	PP16A
BTBD10	MGC13007
NOTCH2NLB	NOTCH2NLB
FAM210A	FAM210A
NIBAN1	GIG39
LDHC	LDHC
CTSLP2	CTSLL7
DUOX1	LNOX1
HMGN2P8	HMGN2P8
NR0B1	NR0B1
IGHD	IGHD
RAB40AL	RAR2
SKP2	FBXL1
OPRL1	OPRX
EMP1	TMP
ERVK911	ERVK911
NIPSNAP3A	HSPC299
RPS11	RS11
DICER1	DICER
MIR210	HSAMIR210
MIR1273C	HSAMIR1273C
SYT1	SYT
SPATA25	DJ337O18.8
SPATA32	SPT32
C18ORF32	CR032
MIR199B	MIR199B
NOTCH4	NOTCH4
IVNS1ABP	KLHL39
PIRC103	PIRC103
KTN1AS1	C14ORF33
IGKV3OR2268	IGKV3OR2268A
RNU7172P	RNU7172P
NT5C2	PNT5
NEIL3	HNEI3
OR1F1	OR1F9
FAM32A	FAM32A
FPR2	FPR2A
NFATC1	NFATC
CCDC142	FLJ14397
HFM1	HFM1
EGFLAMAS1	CTD2108O9.1
POC1B	WDR51B
LINC02034	LINC02034
ADAMTSL5	THSD6
TMED10	TMEDA
METTL16	MET16
COX5BP5	COX5BP5
SETD1B	KIAA1076
THAP2	THAP2
PGAM4	PGAM3
RN7SL340P	RN7SL340P
SCARF1	SREC
BTF3P13	BTF3L3
BLM	BLM
SCX	SCXA
RPS26P46	RPS26P46
MIR9983	MIR9983
RNA5SP431	RNA5SP431
KCTD2	KCTD2
PKN1	MGC46204
SNORA52	ACA52
RHBDD2	RHBD2
HCFC1R1	FLJ20568
MIR3186	MIR3186
SNORD65B	SNORD65B
MRPS12	MRPS12
SNORA37	ACA37
HERPUD2	HERPUD2
SLC26A4	PDS
KRT18P52	KRT18P52
TRGCCC51	TRNAGLYCCC51
PIK3R1	P85ALPHA
PHF11	BCAP
KRT18P62	KRT18P62
ERVV1	ERVV1
TAP2	D6S217E
LRFN5	LRFN5
ATP6V0C	ATPL
PHETA1	SESQ1
PLEKHG1	ARHGEF41
MIR582	MIRN582
PRSS22	PRSS22
LINC02530	LINC02530
MAP3K5	MAPKKK5
SDC2	CD362
BHMG1	BHMG1
C9ORF163	C9ORF163
IRF2BP1	I2BP1
P2RX4	P2X4
MIR487B	MIRN487B
SNORD43	U43
LINC002663	LINC002663
PRG4	JCAP
ATP9A	ATP9A
SLC12A4	S12A4
UIMC1	RAP80
IBA57	CAF17
ATP10A	KIAA0566
OFD1P3Y	OFDYP3
LINC01442	LINC01442
FDPSP2	FDPSL2
TRIM24	TIF1
KXD1	KXDL1
TMEM135	FLJ22104
TTTY27P	TTTY27P
WASHC3	WASHC3
ZWINT	ZWINT
OR51E1	O51E1
NFS1	ISCS
CLIC6	CLIC1L
H2AB1	H2AFB1
GALNT10	GLT10
MIR4722	MIR4722
SNORD1141	14Q(II1)
COL21A1	COL21A1
NAPRT	NAPRT1
SEM1	SHFD1
ERAP1	ARTS1
AMLCR2	AMLCR2
OFD1P15Y	OFDYP15
YWHAZP2	YWHAZP2
NUDT19P1	NUDT19P1
IGHV114	IGHV114
BOLA3P1	BOLA3P1
PLP2	MGC126187
SCGB3A2	PNSP1
AP1B1P1	ADTB1L1
HHIPL1	HIPL1
RNF212	LOC285498
SNX18P12	SNX18P12
RPL24P6	RPL24P6
IGHVII781	IGHVII781
ARMC5	FLJ13063
TRNGTT152	TRNGTT152
OR8X1P	OR8X1P
UBE2L1	UBE2L1
RNU6828P	RNU6828P
IFNL3	IFNL3
AMTN	AMTN
MIR320B1	HSAMIR320B1
TRFGAA14	TRNAPHEGAA14
MSANTD1	MSANTD1
PRRC2B	BAT2L1
RNA5SP103	RNA5SP103
RNU656P	RNU656P
SNTB1	59DAP
TRAF3IP1	DKFZP434F124
OR4G3P	OR4G5P
RNU455P	RNU455P
MYLPF	MLRS
CCDC39	CILD14
TGFB3	ARVD
KHDC1L	RP11257K9.7
PABPC1P10	PABPC1P10
DPRXP2	DPRXP2
LINC01702	LINC01702
ZNF619P1	ZNF619P1
FSTL5	DKFZP566D234
MIR6792	MIR6792
APPL2	FLJ10659
MECR	NRBF1
SHANK1	SSTRIP
MIR7976	MIR7976
CTSK	PKND
HSPA9	MOT2
ATXN7L2	FLJ00381
IGKV132	IGKV132
TMEM67	MGC26979
LINC02630	LINC02630
ICK	LCK2
PAIP2B	KIAA1155
C10ORF88	EM:AC073585.5
GLUD1P4	GLUD1P4
MIR516A2	MIR516A2
LAMTOR1	P27RFRHO
MIR5090	HSAMIR5090
RNU5A1	RNU5C
MIR6775	MIR6775
KRAS	KRAS1
RPL21P113	RPL21P113
TMED8	FAM15B
B4GALNT3	FLJ40362
RNA5SP212	RN5S212
FAM161A	FLJ13305
DDX39BAS1	DDX39BAS1
EXOC4	MGC27170
SF3A3P1	DJ581P3.1
KBTBD4	E9PJY1
RN7SL806P	RN7SL806P
HDGFL2	HDGFRP2
ODF3	CT135
GLRA2	GLRA2
DNM1P26	DNM1DN161
COMMD9	COMD9
PPP6R3	FLJ11058
PRRG2	PRGP2
SPATA31D3	FAM75D3
SMARCE1	BAF57
TOPBP1	KIAA0259
MIR1914	HSAMIR1914
HMCES	SRAPD1
POLR2K	POLR2K
ABHD8	MGC2512
DENND6AAS1	DENND6AAS1
MIR1281	HSAMIR128A
TRKTTT11	TRNALYSTTT11
CPSF1P1	DJ90G24.5
CTDSP1	CTDS1
TRIAAT53	TRIAAT53
ZNF725P	ZNF725P
C10ORF82	EM:AC016825.4
NUTM2B	FAM22B
TRYGTA11	TRNATYRGTA11
KLHL25	ENC2
MIR4675	MIR4675
DYNLL1	DYL1
CALHM4	FAM26D
MTL3P	MTL3
ZNF326	ZNF326
OR7E117P	OST716
ARAF	ARAF1
GNAT3	GUSTDUCIN
RAB40C	RB40C
IFNA17	LEIF2C1
GSE1	GSE1
ADAM8	CD156A
MAGED1	MAGED1
HAP1	HAP2
OR7A5	OR7A5
PPP2R3C	G41
TERB2	C15ORF43
TF	PRO1557
ZNF641	FLJ31295
SGCD	DAGD
ITGAD	ADB2
KRT41P	HHAA
TRGCCC41	TRNAV35P
TEX55	TEX55
RMDN3	RMDN3
SMC1B	SMC1B
LINC01148	LINC01148
LINC02225	LINC02225
PTPN11	SHP2
LINC01790	LINC01790
KLKP1	KLK31P
PDXP	CIN
BTNL9	FLJ32535
FAM106C	FAM106CP
SALL1P1	SALL1P1
DYNC2LI1	DYNC2LI1
H2BC12	H2BC12
S100A5	S10A5
DDX21	DDX21
POLE2	DPOE2
LINC02389	LINC02389
CYTH1	CYTH1
CYCSP55	BA513I15.3
LINC02245	LINC02245
TIMM10B	TIM10B
TAF8	TAF8
GTF3C5	TFIIICEPSILON
ZNF19	MGC51021
MIR3925	HSAMIR3925
WASF2	SCAR2
RPS26P2	RPS26P2
WIPF3	CR16
MIR4729	HSAMIR4729
TPRXL	TPRXL
RPL7AP15	RPL7AP15
MMP25AS1	MMP25AS1
TTLL7	FLJ23033
RBAKRBAKDN	I3L0D1
SCMH1	SCMH1
MAGOHB	MGN2
AHSP	ERAF
MIR31792	MIR31792
RABGAP1	RABGAP1
PAXBP1	FSAP105
TRAV123	TCRAV2S2
TRIM66	C11ORF29
BTAF1	TAF172
PDE6B	PDEB
MIR518D	MIR518D
RNA5SP117	RNA5SP117
BCS1L	BCS1L
IZUMO2	SCRL
PLIN4	KIAA1881
LETM1P3	LETM1P3
MIR4794	MIR4794
MIR940	MIR940
HUWE1	HUWE1
FAM50A	FA50A
SCARNA26B	SCARNA26B
ANKRD30BP2	CT85
TRLAAG41	TRNALEUAAG41
GIMAP5	GIMA5
RUNX2	PEBP2AA1
HOXA11AS	NCRNA00076
PRSS37	PRSS37
PDK1P1	PDK1P1
PAK5	KIAA1264
MIR29A	MIRN29
SLC9B2	SL9B2
B3GNT7	B3GNT7
CSNK1A1	KC1A
NUP214	CAN
OR1D2	OLFR1
ENC1	ENC1
SUCLG2	SUCLG2
VN2R18P	VN2R18P
OR4K14	OR4KE
OR2AG2	OR2AG2P
TRAAGC121	TRNAA37
XYLT2	XYLT2
ICMT	PCCMT
TMEM38B	BA219P18.1
MIR8061	HSAMIR8061
CD2BP2	PPP1R59
RNA5SP135	RN5S135
USP32P1	USP32P1
RPL13P6	RPL13P6
GYPE	GPE
SLC25A24P1	SLC25A24P1
MIR6722	HSAMIR6722
SCGB1C1	SCGB1C1
LINC01152	TCONS_00025128
DPP10AS2	DPP10AS2
MTCO2P19	MTCO2P19
NSUN5	NSUN5
C16ORF95	C16ORF95
MIR4705	HSAMIR4705
SIGLEC15	CD33L3
CYP1B1AS1	C2ORF58
ZNF827	ZN827
NUDT21	CPSF5
UQCRC2	UQCRC2
DHRS11	DHRS11
TMEM120A	NET29
INO80B	IES2
TTTY1B	TTTY1B
FAM217B	DJ551D2.5
BBIP1	BBIP1
GVQW1	BA205M20.5
H2AC3P	DJ139G21.2
PARD6B	PAR6B
GTF2I	DIWS
USPL1	C13ORF22
DCHS1	DCHS1
ATP5MC2P1	ATP5G2P1
PLAC9P1	PLAC9P1
RN7SL558P	RN7SL558P
TMCO6	PRO1580
HIVEP3	ZNF40C
SPPL2B	KIAA1532
OOSP2	OOSP2A
SLC9A1	PPP1R143
PPP1R17	GSBS
PRKN	PARK2
TIMM8A	MTS
HNRNPA3	HNRNPA3
RAB34	RAB34
SKP1P1	TCEB1L
GTSF1L	C20ORF65
UPP2	UP2
SSPO	SSPO
MRX37	MRX37
HBG2	HBG2
NIPSNAP3A	FLJ13953
FRMD1	FRMD1
TMF1P1	TMF1P1
PTPRC	PTPRC
SYNPO2L	SYNPO2L
IDDM16	IDDM16
H3C4	H3FB
EGR3	PILOT
MAP7D3	MA7D3
MGAT5B	FLJ25132
LINC02755	LINC02755
NEK2	RP67
NEMP2	TMEM194B
DROSHA	RNASEN
ZNF543	ZNF543
MIR8073	HSAMIR8073
PIRC89	PIRC89
SNARA2	SNARA2
RNF5	RNF5
RN7SL479P	RN7SL479P
UBE2D2	UBC4
RNA5SP222	RNA5SP222
SRSF7	AAG3
NME3	NDPKC
GRWD1	GRWD
NBEAP2	BCL8D
DEFB127	BA530N10.2
R3HCC1	DKFZP564N123
TSC22D3	HDIP
HOXA6	HOX1B
CCNT2P1	CCNT2P1
ZBTB1	ZNF909
C2CD4DAS1	C2CD4DAS1
SEC11B	SEC11B
LINC01634	LINC01634
ADGRE1	TM7LN3
PCED1B	PCED1B
DOCK8	FLJ00152
RNU7148P	RNU7148P
LINC02221	LINC02221
ZNF266	HZF1
TMED9	TMED9
UPF3A	UPF3
KIF27	DKFZP434D0917
MIR130A	MIR130A
ZNF257	BMZF4
SEMA3B	SEMAV
AKR1C2	HAKRD
ISM2	TAIL1
VWA2	VWA2
ZNF182	ZN182
RPS15P9	RPS15P9
VN1R8P	ORLP2
MIR39102	MIR39102
ABI3BP	TARSH
FITM1	FITM1
RNASE2	RNAS2
ATP5F1BP1	ATPMBL1
LINC00244	C7ORF4
MIR520E	MIRN520E
CENPJ	SASS4
REPIN1	REPI1
C1ORF116	FLJ36507
YJEFN3	YJEFN3
SIRPB2	PTPNS1L3
BPI	BPIFD1
ATXN7L1	AT7L1
SCGB3A1	HIN1
VCAM1	CD106
WWP2	WWP2
OR7E87P	OR7F3P
IVL	IVL
TRNGTT91	TRNGTT91
HIGD1C	HIGD1C
KIAA1958	K1958
WEE2	FLJ16107
FCF1	CGI35
WAS	WASP
CCDC134	FLJ22349
FBXO28	FBX28
PHBP17	PHBP17
RPS4XP6	RPS4XP6
ZNF839	C14ORF131
DAOAAS1	DAOAAS
SLC14A1	RACH2
PTPN2P1	PTPN2P1
KRT18P23	KRT18P23
MID1IP1	G12LIKE
TRQTTG21	TRQTTG21
PWRN3	PWRN3
CCL13	NCC1
RNF227	RN227
EIF2B2	EIF2BBETA
CES1P1	CES1P1
NIPSNAP3B	NIPSNAP3B
TMC5	FLJ13593
DEFB133	DB133
YTHDC1	YTHDC1
DYNC1H1	P22
PCED1A	PED1A
AMMECR1	AMMECR1
MTCYB	CYB
TACC3	ERIC1
RPSAP75	RPSAP75
RNA5SP150	RN5S150
DNM1P41	DNM1P41
C1QL3	C1QL
VN1R39P	VN1R39P
UGT1A2P	UGT1A2P
NAALAD2	NAALAD2
FAM3B	FAM3B
HCAR3	GPR109B
RNA5SP420	RN5S420
LINC02773	LINC02773
APLF	ZCCHH1
OR10X1	O10X1
MSANTD4	MSANTD4
ZNF680P1	ZNF680P1
TRQCTG131	TRQCTG131
SHC3	NSHC
PCAT19	PCAT19
CYB5D2	MGC32124
MIR1258	HSAMIR1258
RYBP	RYBP
CXORF66	RP1135F15.2
RTL9	RGAG1
KRT8P45	KRT8P45
NPPAAS1	NPPAAS1
CXCL16	CXCL16
LINC02161	LINC02161
MIR4725	HSAMIR4725
MIR639	MIR639
LAYN	LAYN
TRVAAC12	TRNAVALAAC12
C16ORF74	MGC17624
ABCE1	ABCE1
MAT2A	MATII
FAM200A	FAM200A
FKBP4P6	FKBP4P6
TSN	TRSLN
LDHAP2	LDHAP2
FOXD2	FOXD2
COLCA2	CASC13
FBXL18	FBL18
TNFRSF10B	TRAILR2
HSPB2	HSPB2
CYP4X1	CP4X1
SUPT20HL2	FAM48B2
CCT5	TCPE
RN7SKP287	RN7SKP287
TDRP	C8ORF42
VPS28	E9PLM9
TDRG1	LINC00532
LINC00261	NCRNA00261
MARCKSL1	MARCKSL1
ADGRG4	RP1299I16
RN7SL753P	RN7SL753P
PTPN1	PTN1
MIR6815	HSAMIR6815
CHP1	SLC9A1BP
OR10Y1P	OR10Y1P
LYRM7	C5ORF31
NDUFB9P1	NDUFB9P1
HLCS	HLCS
CDK5RAP3	LZAP
SNX18P16	SNX18P16
CCDC183	MGC15438
PMCHL1	PMCHL1
RPL10AP9	RPL10AP9
TUBA3E	TBA3E
MIR19A	HSAMIR19A
FAM89B	FAM89B
DDX43P2	DDX43P2
SYPL1	SYPL1
HAGLR	HOXDAS1
ZMYND10	CILD22
TRAF5	TRAF5
CCDC93	FLJ10996
KIAA1217	SKT
CLCN5	HCLCK2
ABHD14B	MGC15429
CNDP2	FLJ10830
PAPPA2	PAPP2
ELOVL2	SSC2
WT1	AWT1
RNF39	LIRF
ZNF707	A0A2R8YE36
C5ORF38	C5ORF38
OTOGL	OTOGL
ANAPC11	MGC882
PRKAR1A	CNC1
RNA5SP415	RN5S415
RECQL	RECQ1
IGHV2OR165	A0A0B4J2B6
DROSHA	RNC
C19ORF12	MGC10922
FAM133A	F133A
MTND4LP22	MTND4LP22
HPRT1P1	HPRT1P1
MIR39141	HSAMIR39141
MTCO2P1	DJ342K12.1
PRAMEF22	PRAMEF3L
PVRIG	CD112R
UNC93A	DJ366N23.2
TP53AIP1	TP53AIP1
DKC1	XAP101
LINC00626	MGC4473
IGBP1P5	IGBP1P5
TMEM14B	TM14B
TRAV6	TRAV6
GALR2	GALNR2
OPA3	MGA3
LINC01766	LINC01766
USP17L6P	USP17L6
HSPE1P3	HSPE1P3
TNPO2	KPNB2B
CDRT15P1	CDRT15P
RPS19P1	RPS19P1
EDNRB	EDNRB
RNU6391P	RNU6391P
ZMIZ2	ZIMP7
SIAE	SIAE
HR	AU
RN7SL670P	RN7SL670P
BRD4	CAP
TRHGTG17	TRNAH1
C8ORF76	CH076
TNPO1	KPNB2
SLC38A3	SN1
ZNF33B	ZN33B
KCNJ12	KIR2.2V
CASP8AP2	KIAA1315
PFKP	PFKP
KRTAP211	KRTAP211
MIR17HG	LINC00048
KRT18P4	OTTHUMG00000032705
DAGLB	DGLB
C19ORF57	CS057
FAS	APO1
MIR5089	MIR5089
FAM30C	FAM30C
CLIP1	CYLN1
PTPDC1	PTPDC1
ZNF683	HOBIT
SLK	STK2
SUPT7L	STAF65GAMMA
FFAR3	FFAR3
RPL21P74	RPL21P74
DNAJB4	DNJB4
EEF1B2	EEF1B2
IPW	IPW
KRT1	K2C1
DNAJC11	DNAJC11
LIN7C	LIN7C
ACTR10	HARP11
TRIM51EP	TRIM51EP
FAM27E4	FAM27E4
NPM1P5	NPMP5
SRD5A2	S5A2
DENND6A	FLJ34969
CXCL8	SCYB8
MAPK6P1	MAPK6P1
TRIM59	TRI59
DNAH6	DNHL1
LLGL2	L2GL2
HFM1	FLJ36760
PPP4R3B	KIAA1387
SUSD2P1	SUSD2P1
TECPR1	DKFZP434B0335
MIR3652	HSAMIR3652
MIR4524A	MIR4524
SCGB1D4	SCGB1D4
ZNF445	ZNF168
DRD5	DRD1L2
FRMD6AS1	FRMD6AS1
SNRPE	RUXE
TTC23	TTC23
TULP4	TUSP
YTHDF1	YTHD1
CFAP126	C1ORF192
RDH8	SDR28C2
ZNF438	ZNF438
PAFAH1B1P2	PAFAH1B1P2
LCE1A	LEP1
PRKG2	PRKG2
VSTM2L	VSTM2L
MIR548XHG	MIR548XHG
GPER1	GPER
ACCSL	ACCSL
FOXN3	FOXN3
SELENOP	SEPP1
GCLM	GSH0
ARID1B	6A35
ACTBP9	ACTBP9
NOL10	FLJ14075
MIR4267	HSAMIR4267
POTEG	CT104.4
AURKB	AURKB
METTL18	HPM1
KLRG1	2F1
SYNCRIP	SYNCRIP
MIR339	MIRN339
CNR1	CANN6
RNU468P	RNU468P
SLC52A3	S52A3
NAIF1	C9ORF90
LINC00637	LINC00637
CLEC20A	FLJ44005
UBLCP1	UBLCP1
PLXNA2	FLJ30634
RNVU118	U1P101
LINC02636	LINC02636
RSU1	FLJ31034
MEIOB	MEIOB
KLHL29	KIAA1921
HDGFL1	DJ309H15.1
DEFB106A	DEFB106
THSD1	THSD1
DDX42	RNAHP
FOXJ2	FOXJ2
BST2	TETHERIN
TEX13B	TEX13B
H17	H17
IGSF6	DORA
SWSAP1	SWS1AP1
SELE	CD62E
SLC25A39	CGI69
PCNPP5	PCNPP5
SPAG8	CT142
A2ML1	P170
MIR6796	HSAMIR6796
TMEM41A	TMEM41A
TRRCCG12	TRRCCG12
TPM4P1	TPM4P1
SETDB2	C13ORF4
RPS3AP18	RPS3AP18
TRAPPC3L	TRAPPC3L
RIMS2	KIAA0751
SDHCP3	SDHCP3
ITPR1	SCA29
HAUS3	C4ORF15
TMEM181	TM181
MMADHC	MMAD
CAPRIN1	RNG105
IFITM3	IFITM3
SUV39H1	KMT1A
CRISP1	HUMARP
SNORD4B	RNU101B
C2ORF80	LOC389073
ICK	MGC46090
MOB1AP1	MOBKL1BP1
LINC00930	LINC00930
KRT3	K2C3
RAP1BP2	RAP1BP2
MRPL19	RPML15
MOV10L1	CHAMP
MIR152	MIRN152
MIR659	MIRN659
RPL29P8	RPL29P8
ATP6V0D1	ATP6DV
ADPRH	ARH1
MTREX	MTR4
UGT2B25P	UGT2B25P
RTN4	NSPCL
SHISA5	HSHISA5
ARHGAP10	ARHGAP10
BRD3OS	BRD3OS
PTRHD1	PTRHD1
STH	STH
MIR518D	HSAMIR518D
LINC00671	LINC00671
CHMP2B	CHMP2.5
ZSWIM7	SWS1
PFKFB3	F263
THSD4AS2	THSD4AS2
RNU41	RNU4B2
CRYGB	CRYG2
CLCA3P	CLCA3
TRAV132	TRAV132
RTP5	RTP5
DNM3IT1	DNM3IT1
POU4F1	BRN3A
PNPLA2	FP17548
DIAPH1	DFNA1
INSYN1	LOC388135
ATP6V0D2	FLJ38708
MTCYBP40	MTCYBP40
ATP11C	ATP11C
ZNF264	ZN264
CRIPT	HSPC139
PRKG1AS1	RP11573I11.2
TRANK1	TRANK1
NIPA2	SLC57A2
MUC6	MUC6
PYCARD	TMS1
TRATGC101	TRNAA45P
GALNT17	WBSCR17
LINC01754	LINC01754
FSCN1	SNL
TRBV26	TCRBV26S1
SSBP3	SSBP3
ELL	C19ORF17
RPL15P11	RPL15P11
